Element_no.,node_1,node_2,node_3
1,158,1344,1034
2,842,1350,142
3,1051,1353,186
4,158,1386,1344
5,897,1095,144
6,186,1385,1051
7,178,1152,827
8,164,1357,822
9,952,955,188
10,167,934,884
11,142,1377,842
12,1027,1028,763
13,858,860,159
14,171,1015,973
15,166,944,833
16,884,1359,167
17,156,1009,831
18,146,1361,886
19,175,849,835
20,828,1366,154
21,144,1380,897
22,156,953,44
23,191,1346,839
24,996,1042,1041
25,822,1379,164
26,1041,1364,996
27,851,993,859
28,827,1378,178
29,188,1387,952
30,149,864,841
31,973,1362,171
32,159,1390,858
33,886,1376,146
34,175,1381,849
35,851,1391,993
36,44,953,43
37,182,841,840
38,763,1375,1027
39,154,1374,828
40,839,1382,191
41,944,1373,833
42,831,1372,156
43,950,951,161
44,824,1366,828
45,181,839,837
46,983,1389,1006
47,1009,1369,831
48,1359,1361,116
49,109,1366,1357
50,148,850,849
51,886,1361,885
52,840,842,182
53,1264,1388,170
54,1015,1367,973
55,885,1359,884
56,1350,1360,142
57,951,952,161
58,156,1372,953
59,837,858,181
60,148,851,850
61,1028,1365,763
62,822,1357,824
63,833,1370,166
64,825,1386,1061
65,996,1364,995
66,189,1353,1051
67,841,1384,149
68,820,1385,1094
69,862,1264,170
70,934,1358,884
71,191,1352,1346
72,1006,1389,174
73,879,1380,1081
74,1094,1379,820
75,885,1361,1359
76,1357,1366,824
77,170,1388,927
78,1061,1378,825
79,861,1268,836
80,834,1347,859
81,182,1384,841
82,1152,1363,827
83,1006,1376,983
84,859,1347,852
85,767,858,837
86,1347,1351,852
87,897,1367,1095
88,860,1365,159
89,149,1375,864
90,835,1369,175
91,1061,1386,158
92,1344,1371,1034
93,971,1362,973
94,850,861,836
95,535,1268,861
96,852,1351,861
97,951,954,952
98,851,852,850
99,1081,1393,879
100,955,1368,188
101,767,860,858
102,1094,1385,186
103,954,962,578
104,1355,1368,192
105,578,956,954
106,1368,1434,192
107,578,959,956
108,951,962,954
109,840,1348,842
110,161,1383,950
111,996,1371,1042
112,759,960,959
113,759,961,960
114,759,959,571
115,571,959,578
116,954,955,952
117,961,1342,819
118,851,859,852
119,759,1342,961
120,852,861,850
121,956,959,958
122,959,960,958
123,181,1382,839
124,635,860,767
125,761,860,635
126,1005,1438,1374
127,954,956,955
128,956,957,955
129,956,958,957
130,764,872,864
131,864,872,765
132,773,1324,1312
133,1281,1320,868
134,1007,1093,163
135,1205,1339,140
136,1312,1324,711
137,765,872,658
138,355,1087,359
139,1013,1014,889
140,867,1258,143
141,742,1093,1007
142,150,1014,1013
143,143,1258,91
144,1191,1300,173
145,150,1276,1014
146,872,1212,658
147,359,1087,871
148,882,1287,883
149,855,1002,877
150,183,1013,889
151,402,1244,405
152,888,1205,169
153,534,1229,1194
154,405,873,407
155,869,874,418
156,658,1212,874
157,1099,1246,922
158,865,1300,1191
159,405,1244,873
160,658,874,656
161,407,873,418
162,418,873,869
163,991,1149,573
164,1276,1326,1014
165,877,1003,855
166,877,1002,876
167,865,1315,153
168,1051,1147,189
169,1194,1229,875
170,1122,1295,1293
171,909,1283,626
172,183,889,866
173,525,1287,882
174,656,874,869
175,1246,1249,922
176,989,1149,991
177,876,1002,569
178,143,1245,867
179,975,1282,977
180,720,1315,865
181,193,1343,173
182,372,1087,355
183,75,1332,163
184,169,1320,1281
185,169,1281,888
186,1145,1266,848
187,866,1120,183
188,911,1301,401
189,1050,1147,1051
190,904,1286,899
191,949,962,951
192,938,1011,936
193,875,920,442
194,570,1149,989
195,504,1018,502
196,525,1275,524
197,153,1300,865
198,898,985,774
199,91,1258,90
200,576,1269,521
201,537,949,947
202,582,915,760
203,537,962,949
204,777,1217,1180
205,857,916,915
206,768,1181,583
207,661,1226,920
208,888,1339,1205
209,899,985,898
210,400,900,890
211,890,901,400
212,401,1244,402
213,442,1194,875
214,880,881,556
215,723,1312,711
216,1087,1324,773
217,163,1332,1007
218,725,1215,1165
219,794,1283,909
220,892,893,309
221,1180,1217,327
222,919,1049,184
223,973,1058,972
224,867,1245,708
225,904,914,692
226,184,1050,919
227,461,1040,367
228,1311,1319,265
229,977,1282,677
230,881,1184,556
231,1059,1299,1038
232,556,1104,880
233,570,989,986
234,1120,1245,143
235,584,915,582
236,714,1326,1276
237,1140,1278,333
238,331,1086,329
239,845,1054,986
240,569,878,876
241,1318,1325,734
242,774,1309,898
243,866,1245,1120
244,1315,1328,153
245,1133,1208,336
246,890,940,901
247,882,1275,525
248,359,1246,1099
249,985,1018,504
250,612,1215,725
251,1239,1254,1127
252,1033,1212,788
253,915,916,760
254,546,1113,910
255,1048,1299,1059
256,922,1186,1099
257,418,874,659
258,782,1142,1075
259,893,894,309
260,901,940,925
261,925,940,645
262,903,1281,868
263,939,1154,1023
264,520,972,576
265,919,1238,1049
266,165,1011,938
267,283,1045,431
268,506,878,507
269,562,903,636
270,680,1290,802
271,1293,1295,724
272,991,1266,1145
273,637,895,871
274,871,1246,359
275,439,942,436
276,896,1269,576
277,660,935,199
278,367,1040,1000
279,1033,1243,424
280,502,1018,523
281,576,1058,896
282,636,903,868
283,918,1050,821
284,1024,1236,372
285,396,900,400
286,436,942,437
287,578,962,536
288,85,1010,165
289,336,1208,891
290,692,1286,904
291,1221,1306,739
292,986,1054,570
293,585,1041,1040
294,946,1203,947
295,1053,1126,992
296,118,933,167
297,458,963,795
298,1292,1298,977
299,797,1328,1315
300,686,878,506
301,634,946,832
302,1340,1341,907
303,302,894,307
304,600,1138,514
305,536,962,537
306,563,903,562
307,883,1287,886
308,1031,1273,1262
309,933,934,167
310,577,972,520
311,976,1277,681
312,921,1186,922
313,394,900,396
314,920,942,442
315,477,963,458
316,947,1203,537
317,757,1178,756
318,1283,1309,774
319,904,1117,914
320,334,1151,1104
321,741,906,740
322,777,1180,1086
323,932,934,933
324,708,1245,710
325,491,1223,1199
326,1140,1184,881
327,310,921,341
328,928,1136,431
329,908,1025,597
330,647,925,645
331,660,936,935
332,665,1085,1056
333,899,1286,1018
334,65,1028,64
335,438,440,439
336,789,1259,1254
337,845,1230,1054
338,896,1058,897
339,901,925,912
340,919,1050,918
341,184,1147,1050
342,1115,1257,1188
343,34,1004,33
344,336,1086,331
345,424,1243,1187
346,589,895,637
347,1219,1306,1221
348,268,978,263
349,891,1086,336
350,507,878,569
351,922,1249,640
352,169,1205,88
353,269,1314,1255
354,415,923,424
355,910,1052,546
356,1104,1151,880
357,159,1028,65
358,902,1133,426
359,522,946,634
360,573,1266,991
361,650,1008,653
362,1019,1020,757
363,442,942,439
364,731,1319,1311
365,1221,1325,1318
366,376,377,375
367,507,569,509
368,643,1226,661
369,94,1013,183
370,811,915,584
371,649,1008,650
372,756,1178,818
373,892,1052,910
374,917,1020,1019
375,323,913,369
376,917,1019,760
377,964,1268,1256
378,19,943,168
379,278,1037,274
380,282,1072,1043
381,286,1132,429
382,309,894,302
383,420,1075,393
384,402,405,404
385,636,868,867
386,697,1136,928
387,1169,1174,699
388,725,1298,1292
389,1023,1154,783
390,788,1212,872
391,901,912,911
392,976,1282,975
393,1072,1073,1044
394,289,290,288
395,410,695,403
396,1183,1192,406
397,430,1222,1084
398,659,1033,923
399,1056,1085,1057
400,68,181,67
401,309,1052,892
402,366,941,467
403,425,1168,395
404,421,559,413
405,476,907,572
406,683,974,604
407,610,705,611
408,663,920,875
409,1084,1222,735
410,735,1310,1289
411,902,1208,1133
412,1108,1176,1071
413,171,930,121
414,201,203,202
415,246,1219,202
416,205,207,206
417,430,1082,206
418,235,965,210
419,211,213,212
420,1288,1313,443
421,585,1040,461
422,560,561,559
423,630,879,808
424,769,862,770
425,779,1265,1128
426,881,1278,1140
427,910,1113,992
428,98,1030,97
429,394,1142,900
430,428,902,426
431,997,1113,546
432,207,209,208
433,215,216,214
434,333,1047,330
435,371,1117,587
436,401,1301,1244
437,431,1045,928
438,1128,1253,893
439,1125,1253,905
440,1068,1277,976
441,21,139,20
442,133,1061,132
443,132,1061,158
444,140,1012,1010
445,310,1186,921
446,524,1275,779
447,640,1249,941
448,660,1035,938
449,664,1053,992
450,755,878,686
451,914,1217,692
452,745,966,843
453,894,1253,1125
454,920,1226,942
455,21,926,139
456,23,172,22
457,327,1217,914
458,939,1022,373
459,417,423,422
460,810,811,584
461,659,1212,1033
462,796,1259,789
463,28,924,179
464,938,1146,165
465,341,921,353
466,353,640,363
467,378,1154,939
468,923,1033,424
469,467,941,588
470,541,583,515
471,526,1134,607
472,719,1138,600
473,753,755,686
474,733,1279,1118
475,916,917,760
476,974,1182,1067
477,258,260,259
478,565,887,563
479,946,947,832
480,1201,1233,929
481,33,1004,157
482,160,1030,98
483,184,1049,100
484,491,1102,492
485,508,1103,500
486,626,1283,774
487,1078,1177,628
488,727,736,728
489,752,1002,855
490,779,1275,1265
491,52,944,166
492,1034,1179,130
493,361,455,379
494,1114,1188,438
495,453,475,450
496,455,468,456
497,1108,1204,667
498,738,1177,1078
499,857,915,811
500,837,839,838
501,35,177,34
502,177,1004,34
503,192,1139,36
504,89,169,88
505,95,1013,94
506,491,1199,1102
507,575,1252,1190
508,120,138,119
509,324,913,323
510,646,647,645
511,720,721,719
512,749,1341,1340
513,939,1023,1022
514,984,1241,981
515,247,1036,250
516,1002,1090,569
517,632,810,584
518,912,925,651
519,678,679,676
520,1181,1333,742
521,1020,1178,757
522,80,173,79
523,353,363,362
524,375,939,373
525,945,1062,380
526,521,1269,668
527,972,1058,576
528,631,812,609
529,618,964,796
530,661,920,663
531,899,1018,985
532,36,1139,35
533,84,1146,83
534,101,184,100
535,119,933,118
536,135,1152,134
537,1010,1011,165
538,195,196,194
539,282,1043,219
540,240,1045,283
541,288,1132,286
542,308,1016,303
543,1075,1142,393
544,901,911,400
545,751,966,581
546,641,890,782
547,751,967,966
548,992,1126,781
549,989,991,990
550,114,1006,113
551,931,932,138
552,275,1127,271
553,276,281,279
554,935,937,280
555,285,1057,287
556,311,373,312
557,312,1022,314
558,1023,1151,334
559,437,594,593
560,440,441,439
561,462,550,543
562,490,1150,489
563,543,908,597
564,598,1253,1128
565,603,699,605
566,663,875,744
567,784,1151,783
568,1199,1223,792
569,139,943,20
570,63,149,62
571,183,1120,93
572,429,1072,284
573,1131,1132,288
574,316,1104,318
575,430,1084,1082
576,464,905,598
577,887,903,563
578,606,683,604
579,650,651,647
580,837,838,768
581,849,850,836
582,1160,1197,1161
583,54,137,53
584,81,193,80
585,212,1096,235
586,257,1197,1160
587,467,588,527
588,582,682,477
589,505,791,497
590,562,566,512
591,527,1134,526
592,979,980,540
593,636,708,566
594,781,1126,592
595,636,867,708
596,670,1071,1070
597,818,848,758
598,1112,1118,1017
599,54,927,137
600,323,369,354
601,350,1153,368
602,353,921,640
603,369,370,354
604,1100,1137,387
605,398,911,401
606,407,408,406
607,659,923,411
608,682,963,477
609,500,1103,498
610,524,779,592
611,532,625,533
612,671,1108,547
613,547,1108,1071
614,587,1117,904
615,608,918,631
616,680,802,801
617,1047,1059,1046
618,47,175,46
619,166,993,51
620,170,927,55
621,146,1006,114
622,131,1034,130
623,292,997,546
624,338,664,306
625,333,1278,1048
626,695,1039,403
627,405,406,404
628,419,1135,553
629,533,985,504
630,745,746,741
631,829,1237,1234
632,73,1092,185
633,102,1147,101
634,120,930,138
635,122,171,121
636,128,994,127
637,201,935,280
638,233,1119,452
639,248,1107,245
640,276,279,277
641,333,1048,1047
642,913,1117,369
643,476,536,474
644,1071,1107,547
645,667,1204,558
646,575,1190,757
647,599,639,600
648,706,918,608
649,663,744,743
650,914,1117,913
651,1059,1153,1046
652,1082,1084,1083
653,1096,1182,1098
654,20,943,19
655,45,1009,156
656,189,1147,102
657,199,935,201
658,203,204,202
659,205,206,204
660,204,1082,246
661,205,1122,269
662,207,208,206
663,213,214,212
664,295,999,997
665,304,305,301
666,325,1140,328
667,330,332,331
668,369,1117,371
669,438,439,436
670,526,528,466
671,1150,1155,489
672,588,895,589
673,637,871,773
674,706,919,918
675,720,865,722
676,728,1251,1202
677,854,967,751
678,780,892,781
679,910,992,781
680,969,1189,970
681,53,944,52
682,63,1027,149
683,106,186,105
684,106,1094,186
685,266,978,617
686,305,310,306
687,1086,1180,329
688,457,1000,473
689,668,669,545
690,714,1262,590
691,1115,1204,712
692,828,830,829
693,966,967,843
694,12,1060,155
695,30,151,29
696,52,166,51
697,145,193,81
698,87,140,86
699,111,154,110
700,113,174,112
701,197,1035,660
702,443,1036,244
703,274,275,271
704,314,1022,334
705,407,418,411
706,437,593,435
707,575,757,756
708,629,740,628
709,661,663,662
710,744,833,743
711,757,1190,1019
712,788,1243,1033
713,896,897,809
714,824,828,823
715,1000,1040,1001
716,13,1060,12
717,29,924,28
718,56,170,55
719,73,185,72
720,78,153,77
721,312,314,313
722,379,1053,347
723,371,586,530
724,463,1189,969
725,1000,1001,473
726,511,1090,580
727,639,718,600
728,650,652,651
729,793,844,816
730,1050,1051,821
731,980,982,981
732,986,989,987
733,1118,1279,1017
734,1202,1251,1103
735,151,924,29
736,134,178,133
737,190,1152,135
738,1110,1111,319
739,364,1000,457
740,371,587,586
741,431,1136,1057
742,553,558,433
743,434,438,436
744,493,1150,490
745,506,507,500
746,509,511,510
747,970,971,577
748,771,772,619
749,726,909,626
750,662,766,648
751,710,723,711
752,752,1090,1002
753,779,1128,780
754,869,873,870
755,1010,1012,1011
756,172,926,22
757,64,1027,63
758,80,193,173
759,122,1015,171
760,152,995,994
761,197,198,196
762,276,277,275
763,367,1000,364
764,374,905,376
765,412,413,408
766,421,1017,560
767,427,428,426
768,455,979,540
769,508,1202,1103
770,522,634,619
771,526,607,528
772,607,1134,707
773,619,964,618
774,643,648,644
775,643,661,648
776,704,1195,1161
777,746,747,741
778,815,847,755
779,783,1151,1023
780,793,845,844
781,97,1029,96
782,111,1005,154
783,121,930,120
784,317,1111,349
785,475,534,450
786,476,572,571
787,484,544,482
788,543,597,579
789,615,676,675
790,657,840,765
791,681,1282,976
792,746,1235,748
793,848,1266,758
794,840,841,765
795,822,823,813
796,14,176,13
797,127,994,180
798,235,1097,965
799,251,253,252
800,251,256,253
801,261,263,262
802,268,1127,978
803,281,476,474
804,665,1032,300
805,342,1133,335
806,459,1227,362
807,469,470,378
808,449,450,441
809,520,521,470
810,494,496,493
811,583,1181,515
812,560,620,561
813,623,624,565
814,580,1090,752
815,594,643,642
816,812,813,609
817,790,1109,614
818,665,1056,1055
819,677,678,676
820,736,737,728
821,752,854,751
822,876,878,755
823,775,882,776
824,802,1290,1196
825,1038,1153,1059
826,66,159,65
827,99,160,98
828,103,189,102
829,125,1081,144
830,224,225,222
831,224,1068,227
832,226,1123,225
833,227,1068,976
834,233,234,231
835,231,1062,666
836,233,236,234
837,238,1062,234
838,452,693,236
839,241,380,238
840,380,1062,238
841,263,978,266
842,281,474,279
843,335,1133,336
844,344,1153,350
845,350,364,348
846,370,1109,354
847,530,531,370
848,374,376,375
849,377,469,378
850,384,1074,382
851,382,1074,945
852,479,480,428
853,455,540,468
854,464,538,463
855,521,545,470
856,487,488,486
857,518,567,510
858,981,1241,540
859,568,727,567
860,724,1329,624
861,638,1338,1326
862,642,940,641
863,644,646,645
864,766,1211,648
865,654,656,655
866,656,869,655
867,657,765,658
868,666,1062,945
869,945,1091,666
870,1091,1123,666
871,680,801,679
872,691,777,700
873,917,1021,1020
874,15,1026,14
875,83,1146,998
876,113,1006,174
877,124,1095,123
878,136,190,135
879,223,1068,224
880,224,227,226
881,229,1123,226
882,227,975,228
883,228,232,230
884,231,666,229
885,975,977,232
886,233,452,236
887,241,381,380
888,267,270,268
889,274,1037,276
890,292,546,296
891,298,302,299
892,302,307,303
893,894,1125,307
894,373,1022,312
895,317,349,315
896,330,331,329
897,330,1047,332
898,332,337,335
899,1109,1110,354
900,446,447,358
901,368,461,367
902,383,385,384
903,418,659,411
904,448,512,447
905,471,946,522
906,513,563,562
907,520,576,521
908,596,633,538
909,669,783,545
910,564,565,563
911,630,808,579
912,580,751,581
913,594,642,641
914,597,1025,778
915,607,706,608
916,629,966,745
917,641,940,890
918,646,649,647
919,651,925,647
920,769,770,649
921,654,657,656
922,869,870,655
923,992,1113,664
924,777,891,700
925,715,1272,1116
926,717,1327,1012
927,862,863,770
928,780,893,892
929,1158,1250,1159
930,8,1129,7
931,9,162,8
932,176,1060,13
933,19,168,18
934,49,148,48
935,96,150,95
936,123,1095,1015
937,219,220,218
938,220,221,218
939,220,222,221
940,222,1066,221
941,225,1123,1077
942,237,239,238
943,239,1069,241
944,240,283,282
945,283,431,285
946,286,429,284
947,431,1057,285
948,298,299,297
949,299,360,297
950,302,303,299
951,303,1162,299
952,299,1162,360
953,341,353,352
954,344,350,348
955,1164,1207,349
956,455,456,379
957,383,1063,386
958,385,409,384
959,409,548,384
960,386,388,387
961,390,393,391
962,390,419,393
963,419,420,393
964,398,399,397
965,401,402,399
966,409,1137,1088
967,1069,1070,444
968,464,595,538
969,685,686,506
970,513,562,512
971,522,619,618
972,969,970,577
973,971,972,577
974,779,780,592
975,601,1076,673
976,772,964,619
977,669,784,783
978,1063,1166,684
979,694,794,693
980,696,1136,697
981,697,928,702
982,732,1334,734
983,789,1254,1239
984,795,1144,1141
985,1035,1146,938
986,1043,1072,1044
987,1066,1076,1065
988,7,187,6
989,14,1026,176
990,28,179,27
991,179,1080,27
992,61,182,60
993,94,183,93
994,127,180,126
995,152,994,128
996,130,1179,129
997,218,968,216
998,216,968,451
999,221,968,218
1000,219,1043,220
1001,240,282,219
1002,220,223,222
1003,225,1066,222
1004,237,242,239
1005,239,241,238
1006,242,243,239
1007,272,274,271
1008,281,907,476
1009,283,284,282
1010,285,286,284
1011,285,287,286
1012,292,293,290
1013,296,298,297
1014,360,1130,297
1015,298,1052,309
1016,1016,1162,303
1017,304,339,305
1018,314,334,316
1019,319,1111,317
1020,332,335,331
1021,1022,1023,334
1022,337,1046,344
1023,341,352,347
1024,356,372,355
1025,374,1125,905
1026,548,1074,384
1027,386,387,385
1028,385,1137,409
1029,386,684,388
1030,386,1063,684
1031,388,390,389
1032,388,1135,390
1033,684,1135,388
1034,391,392,389
1035,392,1100,389
1036,396,397,395
1037,397,425,395
1038,396,398,397
1039,398,401,399
1040,400,911,398
1041,404,410,403
1042,405,407,406
1043,407,411,408
1044,409,549,548
1045,419,433,420
1046,423,514,422
1047,1039,1170,425
1048,429,1196,1073
1049,452,694,693
1050,462,543,542
1051,464,598,595
1052,539,582,477
1053,499,506,500
1054,499,685,506
1055,550,908,543
1056,549,601,548
1057,601,673,548
1058,551,696,552
1059,696,697,552
1060,698,1171,552
1061,587,898,586
1062,589,591,590
1063,602,674,601
1064,674,1076,601
1065,603,604,602
1066,604,974,602
1067,605,606,604
1068,615,677,676
1069,809,879,630
1070,650,653,652
1071,874,1212,659
1072,673,1091,1074
1073,1076,1077,673
1074,1079,1164,675
1075,679,1079,676
1076,678,681,680
1077,801,803,679
1078,697,702,698
1079,710,711,709
1080,745,843,817
1081,900,1142,782
1082,845,986,846
1083,893,1253,894
1084,908,1216,1025
1085,936,937,935
1086,1148,1231,1016
1087,1057,1136,1056
1088,1077,1123,1091
1089,1089,1137,1100
1090,1132,1284,1196
1091,12,155,11
1092,64,1028,1027
1093,97,1030,1029
1094,932,933,138
1095,217,219,218
1096,1044,1068,223
1097,242,244,243
1098,242,443,244
1099,255,1233,1201
1100,271,1127,268
1101,287,289,288
1102,334,1104,316
1103,325,1184,1140
1104,343,1141,351
1105,355,359,345
1106,358,1024,356
1107,356,1024,372
1108,357,445,358
1109,357,551,445
1110,447,1024,358
1111,368,462,461
1112,388,389,387
1113,390,391,389
1114,390,1135,419
1115,403,1039,399
1116,409,1088,549
1117,419,553,433
1118,423,541,515
1119,795,1141,432
1120,436,437,435
1121,551,552,445
1122,446,516,448
1123,448,513,512
1124,1067,1182,451
1125,451,1182,1096
1126,529,535,475
1127,485,486,484
1128,484,1064,544
1129,1156,1263,516
1130,518,1177,568
1131,614,1109,531
1132,541,635,583
1133,549,603,602
1134,1038,1299,550
1135,551,1055,696
1136,697,698,552
1137,1135,1173,553
1138,603,605,604
1139,610,611,606
1140,611,1175,606
1141,705,729,611
1142,612,725,613
1143,634,832,831
1144,651,1225,912
1145,660,938,936
1146,694,804,794
1147,695,1170,1039
1148,702,703,698
1149,1089,1169,699
1150,929,1233,702
1151,703,1158,1157
1152,716,888,887
1153,732,733,721
1154,729,735,730
1155,752,855,854
1156,836,1268,772
1157,1267,1280,791
1158,909,1288,794
1159,1065,1067,968
1160,1100,1168,1089
1161,7,1129,187
1162,27,1080,26
1163,33,157,32
1164,165,1146,84
1165,93,1120,92
1166,123,1015,122
1167,126,1081,125
1168,132,158,131
1169,178,1061,133
1170,163,1093,1092
1171,280,1122,203
1172,206,1082,204
1173,209,210,208
1174,210,965,208
1175,451,1096,214
1176,215,217,216
1177,235,1098,1097
1178,244,245,243
1179,670,1069,243
1180,244,247,245
1181,247,248,245
1182,245,1107,670
1183,250,554,249
1184,554,1106,249
1185,289,291,290
1186,289,294,291
1187,291,997,292
1188,292,296,293
1189,296,297,293
1190,294,300,295
1191,546,1052,296
1192,318,556,320
1193,321,1110,319
1194,327,914,913
1195,332,1046,337
1196,340,345,339
1197,340,1124,346
1198,426,1133,342
1199,346,355,345
1200,346,356,355
1201,346,357,356
1202,346,1124,357
1203,357,358,356
1204,357,1124,551
1205,445,446,358
1206,363,366,365
1207,376,463,377
1208,391,394,392
1209,394,396,395
1210,965,1222,430
1211,458,795,432
1212,558,1114,433
1213,552,1171,445
1214,446,448,447
1215,469,577,520
1216,555,574,478
1217,483,484,482
1218,485,487,486
1219,503,504,502
1220,503,1210,532
1221,511,518,510
1222,612,613,531
1223,626,774,533
1224,539,1297,632
1225,558,1115,1114
1226,620,622,561
1227,582,760,682
1228,591,714,590
1229,605,610,606
1230,730,1175,611
1231,634,771,619
1232,670,1070,1069
1233,1160,1161,672
1234,675,1164,790
1235,683,1175,1098
1236,1098,1182,683
1237,703,1157,1156
1238,1214,1248,705
1239,710,866,723
1240,722,805,732
1241,1097,1175,730
1242,748,814,750
1243,793,816,754
1244,987,988,846
1245,847,877,876
1246,1030,1273,1031
1247,1158,1159,1157
1248,26,141,25
1249,26,1080,141
1250,137,944,53
1251,59,142,58
1252,92,143,91
1253,92,1120,143
1254,125,144,124
1255,930,931,138
1256,1049,1238,160
1257,203,205,204
1258,213,215,214
1259,245,670,243
1260,244,1036,247
1261,247,249,248
1262,247,250,249
1263,249,251,248
1264,249,1106,251
1265,250,806,554
1266,255,1250,1158
1267,1106,1185,256
1268,267,268,263
1269,272,278,274
1270,289,1085,294
1271,291,292,290
1272,294,295,291
1273,294,665,300
1274,300,301,295
1275,300,304,301
1276,300,1032,304
1277,304,340,339
1278,664,999,306
1279,320,1184,322
1280,337,344,343
1281,340,346,345
1282,351,426,342
1283,359,1099,345
1284,353,362,352
1285,371,530,370
1286,411,412,408
1287,412,415,414
1288,457,473,460
1289,492,494,493
1290,495,497,494
1291,496,503,502
1292,507,508,500
1293,502,523,501
1294,503,532,504
1295,1167,1210,503
1296,509,510,508
1297,518,568,567
1298,523,689,688
1299,588,589,527
1300,530,612,531
1301,774,985,533
1302,555,575,574
1303,624,716,565
1304,568,731,727
1305,629,741,740
1306,778,809,630
1307,665,1055,1032
1308,803,1079,679
1309,687,753,686
1310,707,1238,706
1311,777,1086,891
1312,780,1128,893
1313,892,910,781
1314,810,827,811
1315,895,1249,1246
1316,949,951,950
1317,1048,1059,1047
1318,40,188,39
1319,100,1049,99
1320,144,1095,124
1321,195,1035,197
1322,197,660,199
1323,199,200,198
1324,254,547,252
1325,274,276,275
1326,314,315,313
1327,320,322,321
1328,354,1110,321
1329,377,378,375
1330,470,1154,378
1331,514,1138,422
1332,536,537,474
1333,481,482,480
1334,483,485,484
1335,489,1064,486
1336,488,491,490
1337,511,519,518
1338,511,580,519
1339,589,590,527
1340,607,608,528
1341,1064,1198,544
1342,613,615,614
1343,712,1204,671
1344,678,680,679
1345,718,720,719
1346,720,722,721
1347,866,889,723
1348,744,834,833
1349,748,749,747
1350,827,856,811
1351,883,886,885
1352,998,1146,1035
1353,162,1129,8
1354,147,1026,15
1355,42,161,41
1356,145,194,193
1357,145,998,195
1358,199,201,200
1359,209,211,210
1360,251,1106,256
1361,256,258,257
1362,256,1185,258
1363,258,265,260
1364,295,997,291
1365,301,999,295
1366,305,306,301
1367,312,313,308
1368,325,326,324
1369,325,328,326
1370,328,329,326
1371,328,330,329
1372,364,432,348
1373,378,939,375
1374,412,414,413
1375,415,417,416
1376,424,1187,417
1377,421,1112,1017
1378,480,902,428
1379,467,526,466
1380,476,571,536
1381,483,570,485
1382,488,489,486
1383,523,688,501
1384,558,1204,1115
1385,580,752,751
1386,587,904,899
1387,780,781,592
1388,667,1176,1108
1389,689,690,688
1390,738,807,731
1391,799,800,737
1392,792,793,754
1393,756,818,758
1394,883,884,776
1395,1256,1294,796
1396,856,857,811
1397,999,1113,997
1398,1116,1192,1183
1399,86,1010,85
1400,129,152,128
1401,197,199,198
1402,251,252,248
1403,253,254,252
1404,256,257,253
1405,254,671,547
1406,254,1160,672
1407,260,261,259
1408,310,338,306
1409,314,316,315
1410,318,319,317
1411,318,1104,556
1412,322,1184,325
1413,326,327,324
1414,327,913,324
1415,338,1053,664
1416,343,351,342
1417,350,367,364
1418,350,368,367
