Element_no.,node_1,node_2,node_3
1419,361,979,455
1420,376,464,463
1421,454,1112,416
1422,427,555,478
1423,471,522,472
1424,488,490,489
1425,492,1102,495
1426,590,1134,527
1427,571,578,536
1428,539,632,584
1429,541,1187,701
1430,597,630,579
1431,587,899,898
1432,597,778,630
1433,921,922,640
1434,672,712,671
1435,736,799,737
1436,778,896,809
1437,835,849,836
1438,16,147,15
1439,35,1139,177
1440,45,156,44
1441,101,1147,184
1442,174,1005,112
1443,134,1152,178
1444,241,1069,444
1445,261,267,263
1446,471,472,277
1447,320,321,319
1448,332,1047,1046
1449,640,941,363
1450,369,371,370
1451,379,1126,1053
1452,440,517,449
1453,462,542,461
1454,481,483,482
1455,486,1064,484
1456,581,966,629
1457,608,631,609
1458,760,1019,682
1459,691,700,690
1460,712,1257,1115
1461,785,786,784
1462,880,1151,784
1463,785,787,786
1464,989,990,987
1465,1041,1042,1001
1466,118,167,117
1467,242,1121,443
1468,257,1160,253
1469,262,1197,259
1470,311,312,308
1471,318,320,319
1472,341,347,338
1473,344,348,343
1474,363,941,366
1475,364,457,432
1476,412,923,415
1477,415,416,414
1478,435,1075,420
1479,478,479,428
1480,592,1126,456
1481,457,460,458
1482,467,527,526
1483,492,495,494
1484,543,579,542
1485,564,713,623
1486,575,756,574
1487,581,629,628
1488,635,767,583
1489,607,707,706
1490,649,650,647
1491,1161,1195,672
1492,684,1173,1135
1493,685,687,686
1494,701,762,761
1495,1187,1243,701
1496,706,1238,919
1497,762,763,761
1498,767,837,768
1499,772,1268,964
1500,792,1230,793
1501,793,1230,845
1502,814,853,819
1503,828,829,823
1504,845,846,844
1505,1079,1207,1164
1506,22,926,21
1507,129,1179,152
1508,152,996,995
1509,195,197,196
1510,310,341,338
1511,337,342,335
1512,337,343,342
1513,351,427,426
1514,456,1126,379
1515,381,1063,383
1516,427,478,428
1517,460,539,477
1518,479,481,480
1519,479,1193,573
1520,581,628,519
1521,541,701,635
1522,616,704,557
1523,758,1193,574
1524,808,1209,579
1525,589,637,591
1526,594,641,593
1527,775,776,596
1528,618,796,789
1529,637,773,638
1530,770,1008,649
1531,732,734,733
1532,748,750,749
1533,847,876,755
1534,795,1252,1144
1535,929,1213,1201
1536,175,1009,46
1537,180,1081,126
1538,266,557,262
1539,316,317,315
1540,352,361,347
1541,366,467,466
1542,468,525,524
1543,496,501,493
1544,791,1167,497
1545,532,533,504
1546,513,1232,564
1547,628,1177,519
1548,625,626,533
1549,553,1173,667
1550,727,728,567
1551,756,758,574
1552,653,654,652
1553,753,815,755
1554,908,1271,1216
1555,46,1009,45
1556,164,1094,107
1557,228,230,229
1558,263,266,262
1559,266,616,557
1560,275,1239,1127
1561,432,1141,348
1562,362,1227,352
1563,391,1142,394
1564,396,400,398
1565,559,1183,413
1566,593,1075,435
1567,448,1232,513
1568,460,477,458
1569,494,1167,496
1570,498,505,497
1571,613,614,531
1572,561,1116,559
1573,767,768,583
1574,602,974,674
1575,615,675,614
1576,616,798,704
1577,676,1079,675
1578,687,754,753
1579,689,691,690
1580,692,1217,691
1581,694,1215,804
1582,875,1229,744
1583,1216,1271,785
1584,1223,1230,792
1585,947,948,832
1586,1127,1254,978
1587,70,191,69
1588,228,229,226
1589,227,976,975
1590,228,975,232
1591,547,1107,252
1592,267,1321,1304
1593,311,374,373
1594,348,1141,343
1595,365,459,362
1596,463,969,377
1597,517,1240,449
1598,528,1101,466
1599,469,969,577
1600,521,668,545
1601,608,609,528
1602,646,769,649
1603,668,1216,669
1604,722,732,721
1605,882,883,776
1606,971,973,972
1607,37,192,36
1608,201,280,203
1609,208,430,206
1610,220,1043,223
1611,223,224,222
1612,1082,1083,246
1613,252,1107,248
1614,270,272,271
1615,284,1072,282
1616,335,336,331
1617,531,1109,370
1618,394,395,392
1619,414,421,413
1620,429,1073,1072
1621,447,1172,1024
1622,1101,1234,465
1623,483,1149,570
1624,491,492,490
1625,498,1103,505
1626,595,596,538
1627,631,821,820
1628,631,918,821
1629,639,797,718
1630,669,785,784
1631,683,1182,974
1632,689,692,691
1633,1262,1273,707
1634,747,906,741
1635,1196,1284,802
1636,1045,1213,929
1637,55,927,54
1638,158,1034,131
1639,205,269,207
1640,224,226,225
1641,227,228,226
1642,666,1123,229
1643,230,233,231
1644,270,273,272
1645,297,1130,293
1646,307,308,303
1647,322,323,321
1648,328,1140,333
1649,347,1053,338
1650,366,466,465
1651,383,384,382
1652,457,458,432
1653,469,520,470
1654,482,1143,480
1655,1054,1230,487
1656,513,564,563
1657,515,599,514
1658,980,981,540
1659,718,719,600
1660,629,745,741
1661,645,940,642
1662,654,655,652
1663,657,658,656
1664,691,1217,777
1665,928,929,702
1666,708,710,709
1667,791,1210,1167
1668,799,1261,800
1669,912,1301,911
1670,991,1145,990
1671,1296,1322,1228
1672,85,165,84
1673,107,1094,106
1674,108,164,107
1675,115,146,114
1676,217,218,216
1677,217,240,219
1678,230,1119,233
1679,234,1062,231
1680,258,259,257
1681,1057,1085,287
1682,290,1131,288
1683,293,1131,290
1684,315,1148,313
1685,322,324,323
1686,1046,1153,344
1687,349,1207,1148
1688,374,375,373
1689,381,383,382
1690,444,1063,381
1691,1119,1165,452
1692,479,573,481
1693,544,1143,482
1694,516,1263,1232
1695,539,584,582
1696,579,1209,542
1697,544,1206,1143
1698,599,742,639
1699,623,724,624
1700,661,662,648
1701,1055,1056,696
1702,88,1205,87
1703,145,195,194
1704,221,1066,1065
1705,279,1203,471
1706,283,285,284
1707,304,1032,340
1708,316,318,317
1709,345,1099,339
1710,361,379,347
1711,1141,1144,351
1712,383,386,385
1713,387,1137,385
1714,496,1167,503
1715,673,1074,548
1716,564,623,565
1717,716,887,565
1718,641,782,593
1719,663,743,662
1720,1065,1076,674
1721,687,792,754
1722,1056,1136,696
1723,890,900,782
1724,829,1234,823
1725,982,983,981
1726,1030,1031,1029
1727,1055,1124,1032
1728,1066,1077,1076
1729,1303,1306,1083
1730,998,1035,195
1731,237,238,234
1732,237,1121,242
1733,296,1052,298
1734,1111,1164,349
1735,363,365,362
1736,389,1100,387
1737,392,1168,1100
1738,397,1039,425
1739,402,404,403
1740,425,1170,1169
1741,1070,1166,444
1742,542,585,461
1743,478,1193,479
1744,574,1193,478
1745,573,1149,481
1746,549,602,601
1747,550,1271,908
1748,709,1172,566
1749,603,1088,699
1750,675,790,614
1751,740,1078,628
1752,632,825,810
1753,669,1216,785
1754,674,1067,1065
1755,690,1155,688
1756,1165,1215,694
1757,695,1248,1214
1758,1156,1171,698
1759,742,1333,1093
1760,790,1111,1110
1761,812,822,813
1762,1143,1208,902
1763,950,953,948
1764,1168,1169,1089
1765,83,998,82
1766,243,1069,239
1767,306,999,301
1768,328,333,330
1769,368,1038,462
1770,434,435,420
1771,434,436,435
1772,440,449,441
1773,445,1171,446
1774,446,1171,516
1775,512,1172,447
1776,522,618,472
1777,481,1149,483
1778,495,499,498
1779,507,509,508
1780,551,1124,1055
1781,595,775,596
1782,606,1175,683
1783,631,820,812
1784,1102,1199,685
1785,703,1156,698
1786,703,1233,1158
1787,1265,1275,775
1788,786,880,784
1789,786,881,880
1790,790,1110,1109
1791,822,824,823
1792,1166,1176,1173
1793,150,1013,95
1794,201,202,200
1795,208,965,430
1796,211,212,210
1797,211,1250,255
1798,232,1119,230
1799,236,237,234
1800,693,1121,236
1801,294,1085,665
1802,305,1186,310
1803,556,1184,320
1804,480,1143,902
1805,497,1167,494
1806,553,667,558
1807,572,759,571
1808,813,1101,609
1809,1173,1176,667
1810,1025,1216,668
1811,670,1107,1071
1812,730,1222,1097
1813,758,1266,1193
1814,835,836,772
1815,963,1252,795
1816,986,987,846
1817,1071,1176,1070
1818,51,993,50
1819,87,1205,140
1820,265,1319,260
1821,313,1148,1016
1822,323,354,321
1823,1132,1196,429
1824,434,1114,438
1825,444,1166,1063
1826,452,1165,694
1827,537,1203,474
1828,1200,1240,517
1829,519,1177,518
1830,1198,1206,544
1831,728,1202,567
1832,625,726,626
1833,664,1113,999
1834,762,764,763
1835,771,835,772
1836,787,1299,1048
1837,883,885,884
1838,163,1092,74
1839,82,145,81
1840,112,1005,111
1841,160,1273,1030
1842,279,471,277
1843,474,1203,279
1844,449,453,450
1845,489,1155,1064
1846,496,502,501
1847,499,1102,685
1848,555,1252,575
1849,1144,1252,555
1850,616,1224,798
1851,677,1292,977
1852,678,1282,681
1853,1166,1173,684
1854,746,748,747
1855,814,819,750
1856,74,1092,73
1857,75,163,74
1858,254,672,671
1859,281,1037,907
1860,322,325,324
1861,438,1188,440
1862,441,442,439
1863,501,1150,493
1864,622,715,561
1865,671,1204,1108
1866,841,864,765
1867,871,1087,773
1868,1007,1332,797
1869,138,933,119
1870,266,617,616
1871,349,1148,315
1872,468,524,456
1873,466,1101,465
1874,492,493,490
1875,495,498,497
1876,499,500,498
1877,1188,1257,517
1878,532,627,625
1879,560,621,620
1880,688,1155,1150
1881,964,1256,796
1882,796,1294,1259
1883,1206,1208,1143
1884,82,998,145
1885,96,1029,150
1886,140,1339,1012
1887,198,1220,264
1888,352,1227,361
1889,366,465,365
1890,406,1192,404
1891,453,529,475
1892,690,1198,1155
1893,790,1164,1111
1894,829,1296,1237
1895,947,949,948
1896,230,231,229
1897,241,444,381
1898,259,1197,257
1899,276,1037,281
1900,382,945,380
1901,414,1112,421
1902,618,789,472
1903,488,1223,491
1904,509,1090,511
1905,715,1116,561
1906,941,1249,588
1907,623,1163,724
1908,700,1206,1198
1909,891,1208,1206
1910,1040,1041,1001
1911,1084,1289,1083
1912,261,262,259
1913,421,560,559
1914,524,592,456
1915,580,581,519
1916,1074,1091,945
1917,1016,1231,1162
1918,152,1179,996
1919,225,1077,1066
1920,472,1239,277
1921,298,309,302
1922,417,422,416
1923,471,1203,946
1924,621,739,620
1925,624,717,716
1926,632,826,825
1927,672,1195,712
1928,1077,1091,673
1929,1172,1236,1024
1930,221,1065,968
1931,402,403,399
1932,415,424,417
1933,433,434,420
1934,968,1067,451
1935,495,1102,499
1936,532,1210,627
1937,562,636,566
1938,590,1262,1134
1939,974,1067,674
1940,700,1198,690
1941,1088,1089,699
1942,891,1206,700
1943,737,1251,728
1944,745,817,746
1945,909,1313,1288
1946,1088,1137,1089
1947,1170,1174,1169
1948,351,1144,427
1949,368,1153,1038
1950,377,969,469
1951,427,1144,555
1952,789,1239,472
1953,609,1101,528
1954,617,1224,616
1955,701,761,635
1956,817,1235,746
1957,766,1264,1211
1958,1155,1198,1064
1959,99,1049,160
1960,202,1219,200
1961,204,246,202
1962,203,1122,205
1963,212,235,210
1964,211,255,213
1965,214,1096,212
1966,216,451,214
1967,1096,1098,235
1968,287,1085,289
1969,395,1168,392
1970,538,1189,463
1971,567,1202,510
1972,588,1249,895
1973,610,1214,705
1974,729,730,611
1975,643,644,642
1976,714,1276,1031
1977,928,1045,929
1978,949,950,948
1979,1098,1175,1097
1980,422,454,416
1981,487,1223,488
1982,783,1154,545
1983,594,1226,643
1984,870,1225,655
1985,1019,1190,682
1986,816,1218,754
1987,983,984,981
1988,217,1213,240
1989,258,1185,265
1990,307,311,308
1991,376,905,464
1992,545,1154,470
1993,655,1225,652
1994,734,1279,733
1995,870,1301,1225
1996,1327,1329,937
1997,1115,1188,1114
1998,462,1038,550
1999,688,1150,501
2000,788,872,764
2001,801,1260,1247
2002,1043,1044,223
2003,240,1213,1045
2004,313,1016,308
2005,329,1180,326
2006,1247,1260,360
2007,381,382,380
2008,393,1142,391
2009,404,1192,410
2010,411,923,412
2011,422,1138,454
2012,942,1226,437
2013,534,1194,450
2014,564,1232,713
2015,637,638,591
2016,782,1075,593
2017,905,1253,598
2018,798,1200,704
2019,710,1245,866
2020,1031,1262,714
2021,803,1207,1079
2022,1044,1277,1068
2023,1073,1290,1277
2024,1157,1263,1156
2025,1231,1247,1162
2026,140,1010,86
2027,1201,1213,215
2028,236,1121,237
2029,253,1160,254
2030,270,271,268
2031,287,288,286
2032,1130,1131,293
2033,413,1183,408
2034,516,1232,448
2035,569,1090,509
2036,708,709,566
2037,699,1174,605
2038,634,831,771
2039,762,788,764
2040,198,264,196
2041,255,1201,213
2042,1158,1233,255
2043,277,1239,275
2044,510,1202,508
2045,566,1172,512
2046,599,600,514
2047,516,1171,1156
2048,542,1209,585
2049,568,738,731
2050,644,1211,646
2051,705,1291,729
2052,729,1310,735
2053,739,1306,1303
2054,868,1258,867
2055,1289,1303,1083
2056,1116,1272,1192
2057,269,1255,207
2058,1122,1293,269
2059,273,1331,1330
2060,1099,1186,339
2061,1032,1124,340
2062,523,1286,689
2063,1018,1286,523
2064,560,1017,621
2065,568,1177,738
2066,595,1265,775
2067,725,1292,613
2068,742,1007,639
2069,681,1290,680
2070,744,1229,834
2071,799,1285,1261
2072,1305,1309,804
2073,1097,1222,965
2074,1250,1255,1159
2075,1240,1270,453
2076,1116,1183,559
2077,644,645,642
2078,801,1247,803
2079,803,1231,1207
2080,1219,1220,200
2081,209,1250,211
2082,433,1114,434
2083,701,1243,762
2084,1134,1262,707
2085,739,1325,1221
2086,979,1228,980
2087,1106,1285,1185
2088,326,1180,327
2089,423,1187,541
2090,722,1191,805
2091,748,1235,814
2092,775,1275,882
2093,1225,1301,912
2094,1227,1228,979
2095,215,1213,217
2096,977,1298,232
2097,557,1197,262
2098,280,1295,1122
2099,399,1039,397
2100,408,1183,406
2101,416,1112,414
2102,425,1169,1168
2103,570,1054,485
2104,704,1161,557
2105,685,1199,687
2106,794,1288,693
2107,702,1233,703
2108,718,1315,720
2109,895,1246,871
2110,1070,1176,1166
2111,1207,1231,1148
2112,417,1187,423
2113,440,1188,517
2114,1105,1118,454
2115,1161,1197,557
2116,1193,1266,573
2117,632,1297,826
2118,704,1200,1195
2119,733,1105,721
2120,731,1311,727
2121,735,1222,730
2122,1036,1313,1307
2123,423,515,514
2124,454,1138,1105
2125,713,1163,623
2126,754,1218,753
2127,798,1240,1200
2128,743,1242,662
2129,687,1199,792
2130,449,1240,453
2131,505,1267,791
2132,549,1088,603
2133,800,1267,737
2134,1211,1264,769
2135,1224,1270,798
2136,1012,1327,1011
2137,1170,1214,1174
2138,200,1220,198
2139,307,1125,311
2140,453,1270,529
2141,459,1228,1227
2142,633,1189,538
2143,753,1218,815
2144,1190,1252,963
2145,1219,1221,1220
2146,213,1201,215
2147,605,1174,610
2148,1291,1310,729
2149,803,1247,1231
2150,209,1255,1250
2151,311,1125,374
2152,485,1054,487
2153,361,1227,979
2154,441,1194,442
2155,487,1230,1223
2156,1256,1268,535
2157,1012,1339,717
2158,733,1118,1105
2159,1121,1288,443
2160,598,1265,595
2161,615,1292,677
2162,620,1303,622
2163,639,1007,797
2164,677,1282,678
2165,1105,1138,719
2166,778,1269,896
2167,802,1260,801
2168,173,1343,1191
2169,721,1105,719
2170,1025,1269,778
2171,785,1271,787
2172,800,1280,1267
2173,830,1322,1296
2174,1285,1302,1185
2175,360,1260,1130
2176,1162,1247,360
2177,460,1297,539
2178,646,1211,769
2179,1215,1305,804
2180,1119,1298,1165
2181,1036,1307,250
2182,410,1248,695
2183,1103,1251,505
2184,1048,1278,787
2185,791,1280,1210
2186,813,1234,1101
2187,978,1254,617
2188,652,1225,651
2189,713,1274,1163
2190,1232,1263,713
2191,1255,1314,1159
2192,78,1300,153
2193,1334,1335,264
2194,1128,1265,598
2195,1277,1290,681
2196,762,1243,788
2197,768,1333,1181
2198,787,1278,786
2199,267,1304,270
2200,1234,1237,465
2201,769,1264,862
2202,173,1300,79
2203,1289,1310,622
2204,668,1269,1025
2205,1195,1257,712
2206,450,1194,441
2207,823,1234,813
2208,76,1332,75
2209,1165,1298,725
2210,800,1316,1280
2211,806,1261,554
2212,802,1284,1260
2213,1304,1321,807
2214,530,1305,612
2215,1254,1259,617
2216,648,1211,644
2217,339,1186,305
2218,410,1272,1248
2219,1261,1285,554
2220,799,1302,1285
2221,1326,1338,1014
2222,1131,1284,1132
2223,617,1259,1224
2224,1238,1273,160
2225,937,1295,280
2226,682,1190,963
2227,786,1278,881
2228,868,1320,1258
2229,873,1244,870
2230,1159,1274,1157
2231,90,1320,89
2232,468,1241,525
2233,529,1256,535
2234,709,1236,1172
2235,737,1267,1251
2236,1200,1257,1195
2237,554,1285,1106
2238,1174,1214,610
2239,735,1289,1084
2240,695,1214,1170
2241,1092,1345,185
2242,517,1257,1200
2243,689,1286,692
2244,260,1321,261
2245,207,1255,209
2246,622,1303,1289
2247,662,1242,766
2248,693,1288,1121
2249,1017,1279,621
2250,437,1226,594
2251,1263,1274,713
2252,906,1330,740
2253,798,1270,1240
2254,865,1191,722
2255,1295,1329,724
2256,540,1241,468
2257,750,1342,1341
2258,936,1327,937
2259,1237,1296,459
2260,1073,1277,1044
2261,1196,1290,1073
2262,529,1294,1256
2263,1330,1337,273
2264,717,1339,716
2265,365,1237,459
2266,454,1118,1112
2267,830,1296,829
2268,443,1313,1036
2269,711,1236,709
2270,736,1302,799
2271,797,1332,1328
2272,804,1309,1283
2273,1258,1320,90
2274,1185,1302,265
2275,1297,1317,826
2276,1270,1294,529
2277,804,1283,794
2278,1192,1272,410
2279,612,1305,1215
2280,1029,1276,150
2281,1210,1280,627
2282,194,1343,193
2283,246,1306,1219
2284,1261,1316,800
2285,1251,1267,505
2286,550,1299,1271
2287,621,1325,739
2288,232,1298,1119
2289,591,1326,714
2290,1011,1327,936
2291,1228,1322,980
2292,1130,1284,1131
2293,717,1329,1327
2294,613,1292,615
2295,773,1312,638
2296,715,1310,1291
2297,1260,1284,1130
2298,1157,1274,1263
2299,1293,1314,269
2300,599,1181,742
2301,1031,1276,1029
2302,622,1310,715
2303,1163,1293,724
2304,1224,1294,1270
2305,1083,1306,246
2306,586,1305,530
2307,898,1309,586
2308,627,1308,625
2309,625,1308,726
2310,627,1316,1308
2311,707,1273,1238
2312,1037,1340,907
2313,459,1296,1228
2314,473,1317,1297
2315,1307,1313,726
2316,819,1342,750
2317,1330,1331,1078
2318,1319,1321,260
2319,473,1297,460
2320,1248,1291,705
2321,264,1335,196
2322,1236,1324,372
2323,515,1181,599
2324,805,1335,1334
2325,906,1337,1330
2326,465,1237,365
2327,1241,1287,525
2328,1272,1291,1248
2329,1302,1311,265
2330,153,1328,77
2331,586,1309,1305
2332,1280,1316,627
2333,726,1313,909
2334,727,1311,736
2335,734,1334,1318
2336,79,1300,78
2337,270,1304,273
2338,886,1287,984
2339,736,1311,1302
2340,1259,1294,1224
2341,889,1338,723
2342,797,1315,718
2343,984,1287,1241
2344,273,1337,272
2345,1308,1316,806
2346,738,1331,807
2347,887,1281,903
2348,749,1336,747
2349,1159,1314,1274
2350,715,1291,1272
2351,1001,1317,473
2352,739,1303,620
2353,250,1307,806
2354,726,1308,1307
2355,888,1281,887
2356,1274,1314,1163
2357,734,1325,1279
2358,1042,1317,1001
2359,1221,1318,1220
2360,750,1341,749
2361,807,1319,731
2362,805,1334,732
2363,1271,1299,787
2364,261,1321,267
2365,638,1326,591
2366,806,1316,1261
2367,624,1329,717
2368,1244,1301,870
2369,1220,1318,264
2370,980,1322,982
2371,1163,1314,1293
2372,372,1324,1087
2373,89,1320,169
2374,807,1331,1304
2375,723,1338,1312
2376,1304,1331,273
2377,740,1330,1078
2378,838,1333,768
2379,1014,1338,889
2380,907,1341,572
2381,1078,1331,738
2382,77,1328,76
2383,1341,1342,572
2384,1191,1343,805
2385,838,1345,1333
2386,1312,1338,638
2387,1279,1325,621
2388,807,1321,1319
2389,196,1335,194
2390,711,1324,1236
2391,1307,1308,806
2392,278,1340,1037
2393,747,1336,906
2394,1336,1337,906
2395,749,1340,1336
2396,272,1337,278
2397,716,1339,888
2398,278,1337,1336
2399,572,1342,759
2400,937,1329,1295
2401,1333,1345,1093
2402,830,1323,1322
2403,1328,1332,76
2404,805,1343,1335
2405,1345,1346,185
2406,1318,1334,264
2407,839,1346,838
2408,1093,1345,1092
2409,1322,1323,982
2410,1336,1340,278
2411,1317,1344,826
2412,1042,1344,1317
2413,1335,1343,194
2414,838,1346,1345
2415,1229,1347,834
2416,808,1406,1209
2417,534,1347,1229
2418,657,1348,840
2419,653,1348,654
2420,994,1349,180
2421,1349,1406,808
2422,1354,1435,190
2423,1081,1380,144
2424,1374,1438,1323
2425,849,1381,148
2426,654,1348,657
2427,995,1349,994
2428,653,1350,1348
2429,137,1437,1373
2430,190,1435,1363
2431,853,1395,31
2432,854,1400,141
2433,1003,1394,24
2434,844,1399,168
2435,988,1397,17
2436,1021,1396,10
2437,1178,1401,155
2438,861,1351,535
2439,1348,1350,842
2440,535,1351,475
2441,534,1351,1347
2442,164,1379,1094
2443,961,1398,157
2444,1373,1437,1242
2445,993,1370,859
2446,39,1355,38
2447,6,1354,5
2448,72,1352,71
2449,105,1353,104
2450,1346,1352,185
2451,633,1356,1189
2452,178,1378,1061
2453,1008,1350,653
2454,475,1351,534
2455,109,1357,108
2456,842,1377,182
2457,884,1358,776
2458,596,1358,633
2459,117,1359,116
2460,863,1360,770
2461,116,1361,115
2462,931,1356,932
2463,952,1387,161
2464,930,1362,931
2465,858,1390,181
2466,148,1391,851
2467,1209,1364,585
2468,146,1376,1006
2469,763,1365,761
2470,110,1366,109
2471,973,1367,1058
2472,186,1353,105
2473,187,1354,6
2474,185,1352,72
2475,188,1355,39
2476,831,1369,771
2477,1189,1356,970
2478,953,1372,948
2479,832,1372,831
2480,833,1373,743
2481,764,1375,763
2482,828,1374,830
2483,1008,1360,1350
2484,984,1376,886
2485,182,1377,60
2486,59,1377,142
2487,810,1378,827
2488,812,1379,822
2489,897,1380,809
2490,47,1381,175
2491,148,1381,48
2492,68,1382,181
2493,191,1382,69
2494,42,1383,161
2495,61,1384,182
2496,149,1384,62
2497,1051,1385,821
2498,1344,1386,826
2499,40,1387,188
2500,161,1387,41
2501,1242,1388,766
2502,1323,1389,982
2503,181,1390,67
2504,66,1390,159
2505,180,1393,1081
2506,1005,1374,154
2507,1027,1375,149
2508,993,1391,50
2509,49,1391,148
2510,57,1436,863
2511,819,1398,961
2512,24,1394,23
2513,31,1395,30
2514,10,1396,9
2515,17,1397,16
2516,846,1399,844
2517,855,1400,854
2518,1020,1401,1178
2519,3,1405,70
2520,4,1403,103
2521,1,1402,136
2522,2,1404,37
2523,104,1403,4
2524,71,1405,3
2525,38,1404,2
2526,5,1402,1
2527,137,1373,944
2528,108,1357,164
2529,58,1436,57
2530,877,1428,1003
2531,917,1430,1021
2532,168,1425,18
2533,141,1424,25
2534,155,1426,11
2535,157,1423,32
2536,814,1427,853
2537,987,1429,988
2538,834,1370,833
2539,141,1413,854
2540,168,1412,844
2541,155,1419,1178
2542,31,1423,853
2543,24,1424,1003
2544,17,1425,988
2545,10,1426,1021
2546,1034,1371,1179
2547,776,1358,596
2548,167,1359,117
2549,166,1370,993
2550,770,1360,1008
2551,157,1421,961
2552,175,1369,1009
2553,633,1422,1356
2554,115,1361,146
2555,827,1363,856
2556,171,1362,930
2557,1179,1371,996
2558,1095,1367,1015
2559,931,1431,1356
2560,761,1365,860
2561,159,1365,1028
2562,190,1363,1152
2563,585,1364,1041
2564,859,1370,834
2565,154,1366,110
2566,1058,1367,897
2567,957,1368,955
2568,1356,1431,970
2569,953,1383,43
2570,771,1369,835
2571,863,1392,57
2572,1356,1422,932
2573,1042,1371,1344
2574,948,1372,832
2575,57,1392,56
2576,743,1373,1242
2577,170,1392,862
2578,864,1375,764
2579,830,1374,1323
2580,56,1392,170
2581,1003,1428,1394
2582,1021,1430,1396
2583,988,1429,1397
2584,1399,1425,168
2585,853,1427,1395
2586,1401,1426,155
2587,1400,1424,141
2588,1398,1423,157
2589,879,1393,808
2590,188,1368,1355
2591,983,1376,984
2592,60,1377,59
2593,808,1393,1349
2594,950,1383,953
2595,825,1378,810
2596,820,1379,812
2597,809,1380,879
2598,48,1381,47
2599,69,1382,68
2600,43,1383,42
2601,863,1436,1360
2602,62,1384,61
2603,821,1385,820
2604,826,1386,825
2605,41,1387,40
2606,766,1388,1264
2607,982,1389,983
2608,67,1390,66
2609,1358,1422,633
2610,50,1391,49
2611,862,1392,863
2612,1355,1404,38
2613,1352,1405,71
2614,1354,1402,5
2615,1353,1403,104
2616,1362,1431,931
2617,1349,1393,180
2618,23,1394,172
2619,30,1395,151
2620,9,1396,162
2621,16,1397,147
2622,853,1398,819
2623,1003,1400,855
2624,988,1399,846
2625,1021,1401,1020
2626,1323,1438,1389
2627,1242,1437,1388
2628,136,1402,190
2629,37,1404,192
2630,70,1405,191
2631,103,1403,189
2632,1209,1406,1364
2633,961,1421,960
2634,960,1432,958
2635,151,1427,1409
2636,147,1429,1420
2637,162,1430,1418
2638,172,1428,1408
2639,818,1419,1417
2640,1417,1419,1060
2641,1080,1414,1413
2642,1413,1414,967
2643,1129,1418,1415
2644,1415,1418,857
2645,857,1418,916
2646,1026,1420,1416
2647,817,1411,1409
2648,943,1412,168
2649,843,1411,817
2650,179,1414,1080
2651,854,1413,967
2652,139,1410,943
2653,926,1407,139
2654,1409,1411,924
2655,817,1409,1235
2656,176,1417,1060
2657,172,1408,926
2658,1416,1420,1145
2659,1410,1412,943
2660,1026,1416,176
2661,147,1420,1026
2662,162,1418,1129
2663,1178,1419,818
2664,1129,1415,187
2665,924,1411,179
2666,926,1408,1407
2667,815,1408,847
2668,1080,1413,141
2669,151,1409,924
2670,967,1414,843
2671,1407,1410,139
2672,816,1412,1410
2673,1407,1408,815
2674,1060,1419,155
2675,1218,1407,815
2676,844,1412,816
2677,816,1410,1218
2678,818,1417,848
2679,1145,1420,990
2680,848,1416,1145
2681,856,1415,857
2682,1218,1410,1407
2683,1416,1417,176
2684,848,1417,1416
2685,1411,1414,179
2686,843,1414,1411
2687,1409,1427,1235
2688,1420,1429,990
2689,1418,1430,916
2690,1408,1428,847
2691,1433,1434,957
2692,1432,1433,958
2693,1421,1432,960
2694,958,1433,957
2695,1004,1421,157
2696,932,1422,934
2697,32,1423,31
2698,25,1424,24
2699,18,1425,17
2700,11,1426,10
2701,847,1428,877
2702,1235,1427,814
2703,990,1429,987
2704,916,1430,917
2705,970,1431,971
2706,1004,1432,1421
2707,177,1432,1004
2708,177,1433,1432
2709,1139,1433,177
2710,1139,1434,1433
2711,192,1434,1139
2712,995,1406,1349
2713,142,1436,58
2714,174,1438,1005
2715,927,1437,137
2716,856,1435,1415
2717,189,1403,1353
2718,191,1405,1352
2719,190,1402,1354
2720,192,1404,1355
2721,1415,1435,187
2722,1360,1436,142
2723,934,1422,1358
2724,971,1431,1362
2725,187,1435,1354
2726,1364,1406,995
2727,1363,1435,856
2728,957,1434,1368
2729,1395,1427,151
2730,1396,1430,162
2731,1397,1429,147
2732,1394,1428,172
2733,853,1423,1398
2734,988,1425,1399
2735,1003,1424,1400
2736,1021,1426,1401
2737,1388,1437,927
2738,1389,1438,174
